City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coro,VE,2022-01-23 20:59:02,11.4045,-69.6734,82.78,62,36,21.5
68,Inhambane,MZ,2022-01-23 20:59:02,-23.865,35.3833,76.71,87,97,18.07
69,Kahului,US,2022-01-23 20:59:03,20.8947,-156.47,81.66,78,3,11.01
70,Cherskiy,RU,2022-01-23 20:59:03,68.75,161.3,-31.81,96,100,4.29
71,Avarua,CK,2022-01-23 20:57:45,-21.2078,-159.775,80.65,89,75,18.41
72,Jamestown,US,2022-01-23 20:58:43,42.097,-79.2353,26.1,65,100,3.0
73,Sakaiminato,JP,2022-01-23 20:59:04,35.55,133.2333,42.78,75,75,16.11
74,Careiro Da Varzea,BR,2022-01-23 20:59:05,-3.2003,-59.8119,88.43,84,90,1.97
75,Vanimo,PG,2022-01-23 20:59:05,-2.6741,141.3028,77.5,87,100,3.0
76,Sillamae,EE,2022-01-23 20:59:06,59.3997,27.7547,28.92,93,100,12.21
77,Porto Novo,BJ,2022-01-23 20:54:18,6.4965,2.6036,82.22,75,4,6.64
78,Hermanus,ZA,2022-01-23 20:59:06,-34.4187,19.2345,68.9,95,37,5.86
79,Saint-Louis,SN,2022-01-23 20:59:07,16.3333,-15.0,79.14,9,84,10.65
80,Hasaki,JP,2022-01-23 20:59:07,35.7333,140.8333,37.8,78,100,11.72
81,Alyangula,AU,2022-01-23 20:58:35,-13.8483,136.4192,76.87,100,100,3.44
82,Kadoma,JP,2022-01-23 20:59:08,34.7333,135.5833,42.94,91,75,3.44
83,Puerto Colombia,CO,2022-01-23 20:59:08,10.9878,-74.9547,84.29,73,54,23.44
84,Honiara,SB,2022-01-23 20:59:09,-9.4333,159.95,83.19,80,61,4.94
85,Pevek,RU,2022-01-23 20:54:36,69.7008,170.3133,-12.68,96,100,18.52
86,Esna,EG,2022-01-23 20:59:09,25.2934,32.554,52.56,39,0,7.54
87,Thompson,CA,2022-01-23 20:59:10,55.7435,-97.8558,-7.44,59,20,10.36
88,Shingu,JP,2022-01-23 21:00:10,33.7333,135.9833,46.29,89,100,6.2
89,Rosario Do Sul,BR,2022-01-23 20:58:16,-30.2583,-54.9142,103.3,23,60,12.91
90,Port Hardy,CA,2022-01-23 21:00:12,50.6996,-127.4199,45.45,67,100,1.81
91,Camacha,PT,2022-01-23 21:00:14,33.0833,-16.3333,61.56,72,40,5.75
92,Luau,AO,2022-01-23 21:00:14,-10.7073,22.2247,63.3,96,56,1.34
93,Mackay,AU,2022-01-23 21:00:15,-21.15,149.2,77.68,64,91,8.52
94,Santa Marta,CO,2022-01-23 21:00:15,11.2408,-74.199,93.34,58,18,14.0
95,Ibra,OM,2022-01-23 21:00:16,22.6906,58.5334,59.47,63,0,2.84
96,San Patricio,US,2022-01-23 21:00:17,28.017,-97.5169,57.92,42,100,4.14
97,Muriti,TZ,2022-01-23 21:00:18,-1.9833,32.9167,73.36,68,99,8.19
